Job Title,Salary Minimum,Salary Maximum,Salary Average,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Average Hourly Rate,City,State,Company Age (years),Title Grouping,Seniority Level
Reporting Data Analyst,65 ,109,87.05,3.8,Symetra,"Bellevue, WA",1001 to 5000 Employees,1957,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),0,Bellevue,WA,65,analyst,na
"REMOTE Business Analyst - $75k (Data Migration, Excel, SaaS)",50 ,75,62.5,4.1,CyberCoders,"New York, NY",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),0,New York,NY,23,analyst,business
Part-Time Healthcare Data Analyst (60% Remote),87.36,87.36,87.36,4.2,The Mom Project,"Chicago, IL",51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,1,Chicago,IL,6,analyst,na
Data Analyst,74.88,99.84,87.36,4.0,Insight Global,"Saint Louis, MO",1001 to 5000 Employees,2001,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $50 million (USD),1,Saint Louis,MO,21,analyst,na
REMOTE - SAS Data Analyst,49 ,112,74.225,4.1,TEKsystems,"Dallas, TX",1001 to 5000 Employees,1983,Subsidiary or Business Segment,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD),0,Dallas,TX,39,analyst,na
Remote EDI Analyst Contractor,52.0,83.2,66.56,4.1,CyberCoders,"Union City, CA",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),1,Union City,CA,23,analyst,na
Financial Data Analyst,97.76,124.8,110.24,3.9,Robert Half,"Milwaukee, WI",10000+ Employees,1948,Company - Public,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD),1,Milwaukee,WI,74,analyst,na
BUSINESS DATA ANALYST,72.8,83.2,76.96,4.4,Alexander Technology Group,"Beverly, MA",51 to 200 Employees,2007,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $50 million (USD),1,Beverly,MA,15,analyst,business
Business Analyst,100 ,100,100.0,3.8,Vaco,"Stamford, CT",501 to 1000 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$500 million to $1 billion (USD),0,Stamford,CT,20,analyst,business
Data Analyst,92 ,103,97.724,3.8,Highline Public Schools,"Seattle, WA",1001 to 5000 Employees,1941,School / School District,Primary & Secondary Schools,Education,Less than $1 million (USD),0,Seattle,WA,81,analyst,na
